Family.ID	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL2	null	16	11	12	16	20	15	12	11	10	12	13
ORTHOMCL3	null	11	18	10	13	13	11	20	7	7	11	22
ORTHOMCL5	null	4	4	17	27	13	11	9	6	10	8	7
ORTHOMCL6	null	9	7	8	9	29	6	9	8	7	5	6
ORTHOMCL7	null	15	13	12	9	10	1	17	9	2	4	8
ORTHOMCL8	null	12	5	11	14	2	7	8	7	7	6	8
ORTHOMCL10	null	6	5	6	6	6	6	6	6	6	6	17
ORTHOMCL11	null	6	6	6	6	6	6	6	6	5	5	11
ORTHOMCL13	null	5	5	6	7	7	6	7	6	5	7	6
ORTHOMCL16	null	8	4	6	5	4	4	9	9	4	4	5
ORTHOMCL17	null	5	5	7	7	7	5	5	5	5	4	5
ORTHOMCL20	null	6	1	7	6	4	5	5	5	5	5	4
ORTHOMCL22	null	5	5	5	5	4	4	6	5	5	5	4
ORTHOMCL23	null	2	2	10	9	13	3	3	2	2	1	5
ORTHOMCL24	null	5	4	5	11	3	3	4	4	4	4	5
ORTHOMCL25	null	5	3	3	4	5	5	5	5	6	7	3
ORTHOMCL26	null	5	4	12	11	2	2	4	5	1	2	3
ORTHOMCL27	null	5	5	4	4	4	4	5	5	4	3	6
ORTHOMCL28	null	6	6	9	8	4	1	3	1	2	6	2
ORTHOMCL29	null	4	4	5	4	6	4	4	5	4	3	5
ORTHOMCL31	null	6	3	2	5	2	6	4	5	6	5	4
ORTHOMCL32	null	6	6	2	4	9	1	3	3	1	3	10
ORTHOMCL33	null	4	3	6	4	5	4	5	4	4	4	4
ORTHOMCL34	null	3	3	2	4	3	4	11	4	4	3	6
ORTHOMCL37	null	5	3	5	5	5	4	4	4	2	4	5
ORTHOMCL38	null	4	4	4	4	5	4	4	4	4	4	5
ORTHOMCL39	null	2	1	7	8	1	1	8	5	1	1	11
ORTHOMCL41	null	1	1	4	4	14	4	2	2	5	6	2
ORTHOMCL42	null	2	2	3	4	6	3	3	4	8	6	4
ORTHOMCL43	null	4	3	4	3	4	4	5	4	4	4	5
ORTHOMCL46	null	2	4	4	4	4	5	3	4	5	4	3
ORTHOMCL47	null	3	3	6	3	5	3	3	4	4	4	4
ORTHOMCL50	null	1	1	7	6	5	1	6	6	1	1	7
ORTHOMCL51	null	6	2	4	4	7	5	4	3	2	2	2
ORTHOMCL52	null	3	3	4	4	4	2	4	4	3	6	4
ORTHOMCL54	null	6	4	11	8	5	1	1	1	1	1	2
ORTHOMCL55	null	3	2	6	6	5	3	2	4	4	3	2
ORTHOMCL56	null	4	1	7	6	1	1	8	7	1	1	3
ORTHOMCL57	null	3	3	4	3	3	3	4	4	3	3	7
ORTHOMCL58	null	4	4	8	9	1	0	7	3	0	2	2
ORTHOMCL61	null	2	2	2	6	5	2	7	2	2	2	7
ORTHOMCL62	null	2	2	2	2	9	2	2	2	11	2	3
ORTHOMCL63	null	3	3	5	4	4	3	3	3	3	3	5
ORTHOMCL64	null	3	2	8	6	2	2	5	2	3	3	3
ORTHOMCL65	null	2	2	8	8	4	2	3	3	2	2	3
ORTHOMCL66	null	3	3	6	4	5	3	3	3	3	3	3
ORTHOMCL67	null	1	1	1	1	1	1	1	1	1	1	29
ORTHOMCL68	null	3	3	4	8	4	4	3	4	1	1	3
ORTHOMCL70	null	2	2	10	5	2	2	1	2	2	2	7
ORTHOMCL71	null	2	1	5	4	5	1	5	5	1	1	7
ORTHOMCL72	null	3	3	4	4	4	3	4	2	3	4	3
ORTHOMCL73	null	3	2	6	4	3	3	3	3	3	3	4
ORTHOMCL74	null	3	1	8	7	3	4	2	2	2	2	2
ORTHOMCL75	null	2	3	3	5	4	3	3	3	4	4	2
ORTHOMCL76	null	1	1	11	8	3	2	1	1	2	1	5
ORTHOMCL77	null	1	1	6	6	5	1	5	1	1	1	8
