FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>
ORTHOMCL2	12	16	11	16	13	12	13	13	13	12	13	11	10	15	13	20	13	13	13	13	13
ORTHOMCL3	10	13	18	11	12	11	13	12	13	20	13	7	7	11	13	13	22	12	13	13	13
ORTHOMCL5	17	27	4	4	17	8	4	9	8	9	8	6	10	11	8	13	7	9	8	8	8
ORTHOMCL6	8	9	7	9	8	5	8	8	8	9	8	8	7	6	8	29	6	7	8	8	8
ORTHOMCL7	12	9	13	15	10	4	13	10	11	17	11	9	2	1	9	10	8	3	9	8	9
ORTHOMCL8	11	14	5	12	11	6	8	8	8	8	8	7	7	7	7	2	8	7	7	7	7
ORTHOMCL10	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	17	6	6	6	6
ORTHOMCL11	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	11	6	6	6	6
ORTHOMCL13	6	7	5	5	6	7	5	6	6	7	6	6	5	6	6	7	6	6	6	6	6
ORTHOMCL16	6	5	4	8	6	4	6	6	6	9	6	9	4	4	6	4	5	5	5	5	5
ORTHOMCL17	7	7	5	5	7	4	5	5	5	5	5	5	5	5	5	7	5	5	5	5	5
ORTHOMCL20	7	6	1	6	6	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5
ORTHOMCL22	5	5	5	5	5	5	5	5	5	6	5	5	5	4	5	4	4	5	5	5	5
ORTHOMCL23	10	9	2	2	9	1	2	3	3	3	3	2	2	3	3	13	5	3	3	3	3
ORTHOMCL24	5	11	4	5	5	4	4	4	4	4	4	4	4	3	4	3	5	4	4	4	4
ORTHOMCL25	3	4	3	5	4	7	5	5	5	5	5	5	6	5	5	5	3	5	5	5	5
ORTHOMCL26	12	11	4	5	11	2	4	4	4	4	4	5	1	2	4	2	3	2	3	3	3
ORTHOMCL27	4	4	5	5	4	3	5	4	5	5	5	5	4	4	5	4	6	5	5	5	5
ORTHOMCL28	9	8	6	6	8	6	6	6	5	3	3	1	2	1	2	4	2	2	2	2	2
ORTHOMCL29	5	4	4	4	4	3	4	4	4	4	4	5	4	4	4	6	5	4	4	4	4
ORTHOMCL31	2	5	3	6	4	5	4	4	4	4	4	5	6	6	4	2	4	5	4	4	4
ORTHOMCL32	2	4	6	6	4	3	6	4	4	3	4	3	1	1	4	9	10	2	4	4	4
ORTHOMCL33	6	4	3	4	4	4	4	4	4	5	4	4	4	4	4	5	4	4	4	4	4
ORTHOMCL34	2	4	3	3	3	3	3	3	3	11	4	4	4	4	4	3	6	4	4	4	4
ORTHOMCL37	5	5	3	5	5	4	4	4	4	4	4	4	2	4	4	5	5	4	4	4	4
ORTHOMCL38	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	4	4	4
ORTHOMCL39	7	8	1	2	7	1	2	4	4	8	4	5	1	1	4	1	11	2	4	4	4
ORTHOMCL41	4	4	1	1	4	6	1	4	3	2	3	2	5	4	3	14	2	4	4	4	4
ORTHOMCL42	3	4	2	2	4	6	2	4	4	3	4	4	8	3	4	6	4	4	4	4	4
ORTHOMCL43	4	3	3	4	4	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4
ORTHOMCL46	4	4	4	2	4	4	4	4	4	3	4	4	5	5	4	4	3	4	4	4	4
ORTHOMCL47	6	3	3	3	4	4	3	4	4	3	4	4	4	3	4	5	4	4	4	4	4
ORTHOMCL50	7	6	1	1	6	1	1	4	4	6	5	6	1	1	5	5	7	2	5	5	5
ORTHOMCL51	4	4	2	6	4	2	4	4	4	4	4	3	2	5	4	7	2	4	4	4	4
ORTHOMCL52	4	4	3	3	4	6	3	4	4	4	4	4	3	2	4	4	4	3	4	4	4
ORTHOMCL54	11	8	4	6	8	1	4	3	3	1	2	1	1	1	2	5	2	1	2	2	2
ORTHOMCL55	6	6	2	3	6	3	3	3	3	2	3	4	4	3	3	5	2	3	3	3	3
ORTHOMCL56	7	6	1	4	6	1	4	4	4	8	4	7	1	1	4	1	3	2	3	3	3
ORTHOMCL57	4	3	3	3	3	3	3	3	3	4	3	4	3	3	3	3	7	3	3	3	3
ORTHOMCL58	8	9	4	4	8	2	4	4	4	7	4	3	0	0	3	1	2	0	2	2	2
ORTHOMCL61	2	6	2	2	3	2	2	3	3	7	3	2	2	2	3	5	7	2	3	3	3
ORTHOMCL62	2	2	2	2	2	2	2	2	2	2	2	2	11	2	2	9	3	3	3	3	3
ORTHOMCL63	5	4	3	3	4	3	3	3	3	3	3	3	3	3	3	4	5	3	3	3	3
ORTHOMCL64	8	6	2	3	6	3	3	3	3	5	3	2	3	2	3	2	3	3	3	3	3
ORTHOMCL65	8	8	2	2	8	2	2	3	3	3	3	3	2	2	3	4	3	2	3	3	3
ORTHOMCL66	6	4	3	3	4	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3
ORTHOMCL67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29	1	1	1	1
ORTHOMCL68	4	8	3	3	4	1	3	3	3	3	3	4	1	4	3	4	3	3	3	3	3
ORTHOMCL70	10	5	2	2	5	2	2	2	2	1	2	2	2	2	2	2	7	2	2	2	2
ORTHOMCL71	5	4	1	2	4	1	2	4	4	5	4	5	1	1	4	5	7	2	4	4	4
ORTHOMCL72	4	4	3	3	4	4	3	4	3	4	3	2	3	3	3	4	3	3	3	3	3
ORTHOMCL73	6	4	2	3	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3
ORTHOMCL74	8	7	1	3	7	2	3	3	3	2	3	2	2	4	3	3	2	3	3	3	3
ORTHOMCL75	3	5	3	2	3	4	3	3	3	3	3	3	4	3	3	4	2	3	3	3	3
ORTHOMCL76	11	8	1	1	8	1	1	2	2	1	2	1	2	2	2	3	5	2	2	2	2
ORTHOMCL77	6	6	1	1	6	1	1	3	3	5	3	1	1	1	3	5	8	2	3	3	3
ORTHOMCL78	5	6	1	1	5	1	1	2	2	1	2	2	1	1	2	10	7	1	2	2	2
ORTHOMCL79	7	10	1	0	7	1	1	2	2	8	2	2	1	1	2	5	0	1	2	1	2
ORTHOMCL80	5	4	1	3	4	1	3	3	3	1	3	3	4	3	3	6	4	3	3	3	3
ORTHOMCL81	4	3	2	4	3	3	3	3	3	3	3	3	2	4	3	4	3	3	3	3	3
ORTHOMCL82	4	6	1	3	4	1	3	3	3	3	3	1	1	1	3	9	5	2	3	3	3
ORTHOMCL83	3	3	2	2	3	3	2	3	3	4	4	4	3	4	4	3	4	4	4	4	4
ORTHOMCL84	7	6	2	3	6	3	3	3	3	2	3	3	3	2	3	1	3	3	3	3	3
ORTHOMCL85	5	4	4	3	4	3	3	3	3	6	3	1	2	2	2	1	4	2	2	2	2
ORTHOMCL86	6	3	2	3	3	1	2	2	2	3	2	2	2	2	2	9	2	2	2	2	2
ORTHOMCL87	5	4	2	2	4	2	2	3	3	3	3	3	2	2	3	5	5	2	3	3	3
ORTHOMCL88	4	6	1	1	4	1	1	3	3	4	3	1	1	1	3	9	6	2	3	3	3
ORTHOMCL89	3	6	2	3	3	2	3	3	3	3	3	4	2	4	3	3	3	3	3	3	3
ORTHOMCL90	3	3	1	6	3	4	3	3	3	1	3	1	2	5	3	5	3	3	3	3	3
ORTHOMCL92	5	5	2	5	5	2	3	3	3	4	3	2	2	2	2	3	2	2	2	2	2
ORTHOMCL93	3	3	2	2	3	3	2	3	3	4	3	3	4	4	3	2	4	3	3	3	3
ORTHOMCL94	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ORTHOMCL96	3	4	1	5	3	1	3	3	3	4	3	5	1	2	3	3	4	2	3	3	3
ORTHOMCL97	12	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	12	1	1	1	1
ORTHOMCL98	4	2	3	4	3	3	3	3	3	4	3	2	3	3	3	2	3	3	3	3	3
ORTHOMCL99	4	3	2	2	3	3	2	3	3	2	3	3	3	3	3	4	4	3	3	3	3
ORTHOMCL101	2	2	2	3	2	2	2	2	2	2	2	6	2	4	4	1	7	4	4	4	4
ORTHOMCL102	5	3	3	3	3	4	3	3	3	3	3	3	3	2	3	2	2	3	3	3	3
ORTHOMCL104	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	2	3	3	3	3	3
ORTHOMCL105	3	2	1	2	3	2	2	3	3	5	4	2	4	4	4	4	4	4	4	4	4
ORTHOMCL106	3	3	1	1	3	1	1	2	2	2	2	2	2	2	2	6	10	2	3	3	3
ORTHOMCL107	2	2	2	5	2	5	3	3	3	4	3	2	3	2	3	2	3	3	3	3	3
ORTHOMCL108	6	5	1	4	5	1	3	3	3	7	3	1	1	1	2	4	1	1	2	1	2
ORTHOMCL109	3	4	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3
ORTHOMCL110	7	6	1	2	6	2	2	2	2	4	2	1	0	2	2	5	2	2	2	2	2
ORTHOMCL111	2	2	1	3	2	1	3	2	3	7	4	8	1	1	4	5	1	1	4	2	3
ORTHOMCL112	3	2	2	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3
ORTHOMCL113	4	1	2	2	3	2	2	3	3	5	3	3	2	3	3	5	3	3	3	3	3
ORTHOMCL114	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3
ORTHOMCL115	6	6	1	1	6	1	1	3	3	3	3	3	1	4	3	1	5	3	3	3	3
ORTHOMCL121	3	3	2	3	3	4	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3
ORTHOMCL122	5	7	1	1	5	1	1	3	3	4	3	7	1	2	3	1	1	2	2	2	2
ORTHOMCL123	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3
ORTHOMCL124	5	1	1	7	2	1	2	2	2	2	2	7	1	1	2	2	3	1	2	2	2
ORTHOMCL125	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3
ORTHOMCL127	3	2	2	2	3	2	2	3	3	3	3	3	4	2	3	3	5	3	3	3	3
ORTHOMCL128	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ORTHOMCL129	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3
ORTHOMCL130	5	2	2	2	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3
ORTHOMCL132	4	3	2	4	3	1	3	3	3	2	3	2	3	3	3	2	4	3	3	3	3
ORTHOMCL133	2	3	2	6	2	2	2	2	2	4	2	2	3	2	2	2	2	2	2	2	2
ORTHOMCL134	6	10	1	1	6	1	1	2	2	2	2	1	1	1	2	2	4	1	2	2	2
ORTHOMCL135	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3
ORTHOMCL136	5	4	2	3	4	2	3	3	3	3	3	2	1	2	3	3	3	2	3	3	3
ORTHOMCL137	6	2	2	2	2	2	2	2	2	3	2	2	2	2	2	5	2	2	2	2	2
ORTHOMCL139	2	5	1	1	2	2	1	2	2	2	2	2	2	2	2	4	7	2	2	2	2
ORTHOMCL140	5	11	1	1	5	1	1	2	2	3	2	1	1	2	2	1	3	2	2	2	2
ORTHOMCL141	3	2	2	2	3	2	2	3	3	4	3	7	1	2	3	2	3	2	3	3	3
ORTHOMCL142	4	2	1	1	3	5	1	3	3	3	3	3	4	2	3	2	3	3	3	3	3
ORTHOMCL143	3	2	2	2	2	2	2	2	2	2	2	3	1	3	3	3	7	3	3	3	3
ORTHOMCL144	7	12	1	1	7	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
ORTHOMCL145	5	3	1	1	3	2	1	2	2	5	2	1	2	1	2	6	2	2	2	2	2
ORTHOMCL146	3	3	2	3	3	2	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3
ORTHOMCL147	6	5	1	3	5	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2
ORTHOMCL148	3	3	3	3	3	2	3	3	3	3	3	2	3	1	3	3	3	3	3	3	3
ORTHOMCL149	4	4	1	3	4	1	3	3	3	3	3	3	1	2	3	2	5	2	3	3	3
ORTHOMCL150	1	8	1	4	2	1	2	2	2	1	2	1	1	1	2	3	7	1	2	2	2
ORTHOMCL151	3	3	2	3	3	4	3	3	3	3	3	2	1	3	3	2	3	3	3	3	3
ORTHOMCL152	3	3	2	2	3	2	2	3	3	4	3	3	2	2	3	3	3	2	3	3	3
ORTHOMCL153	3	3	3	2	3	3	3	3	3	0	3	3	1	4	3	4	3	3	3	3	3
ORTHOMCL154	6	6	1	1	6	1	1	2	2	5	2	4	1	1	2	1	2	1	2	2	2
ORTHOMCL155	3	3	3	3	3	2	3	3	3	3	3	2	1	3	3	3	3	3	3	3	3
ORTHOMCL156	3	3	3	3	3	3	3	3	3	2	3	1	3	2	3	3	3	3	3	3	3
ORTHOMCL157	2	3	2	2	2	2	2	2	2	1	2	2	1	2	2	2	10	2	2	2	2
ORTHOMCL159	1	3	1	2	3	4	2	3	3	3	3	2	4	2	3	3	4	3	3	3	3
ORTHOMCL160	3	2	2	1	3	2	2	3	3	4	3	2	1	2	3	6	4	2	3	3	3
ORTHOMCL161	2	3	1	2	2	1	2	2	2	10	2	1	1	1	2	4	3	1	2	2	2
ORTHOMCL162	7	12	1	1	7	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
ORTHOMCL163	3	3	2	2	3	2	2	3	3	3	3	2	1	2	3	5	4	2	3	3	3
ORTHOMCL164	9	9	1	1	9	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1
ORTHOMCL165	4	3	3	2	3	1	3	3	3	3	3	0	2	2	3	5	3	2	3	3	3
ORTHOMCL166	2	2	2	3	2	2	2	2	2	2	2	4	2	2	3	4	3	2	3	3	3
ORTHOMCL167	4	3	1	6	3	2	3	3	3	3	3	1	2	2	2	1	3	2	2	2	2
ORTHOMCL169	3	4	2	3	3	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2
ORTHOMCL170	2	5	2	3	2	2	2	2	2	2	2	2	1	5	2	1	3	2	2	2	2
ORTHOMCL176	7	6	1	0	6	1	1	2	2	2	2	2	0	3	2	5	1	2	2	2	2
ORTHOMCL178	2	2	2	4	2	2	2	2	2	2	2	2	1	2	2	5	3	2	2	2	2
ORTHOMCL180	3	3	2	2	3	2	2	2	2	2	2	2	1	2	2	2	6	2	2	2	2
ORTHOMCL181	3	3	1	3	3	2	3	3	3	3	3	4	2	1	3	3	2	2	3	3	3
ORTHOMCL182	2	5	2	2	2	1	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2
ORTHOMCL183	4	3	3	3	3	2	3	2	2	2	2	1	3	1	2	1	4	2	2	2	2
ORTHOMCL184	3	3	2	3	3	2	3	3	3	3	3	2	1	2	3	3	3	2	3	3	3
ORTHOMCL185	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	5	4	2	2	2	2
ORTHOMCL186	2	2	2	5	2	1	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2
ORTHOMCL187	2	4	3	2	2	2	2	2	2	2	2	1	3	4	2	4	0	3	2	2	2
ORTHOMCL189	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	14	1	1	1	1
ORTHOMCL190	4	4	2	2	4	2	2	2	2	2	2	2	1	2	2	4	2	2	2	2	2
ORTHOMCL191	3	2	2	2	2	2	2	2	2	5	2	3	2	2	2	2	2	2	2	2	2
ORTHOMCL192	3	3	1	1	3	1	1	2	2	1	2	1	1	3	2	8	4	3	3	3	3
ORTHOMCL193	6	5	1	2	5	1	2	2	2	3	2	1	1	1	2	5	1	1	2	1	2
ORTHOMCL194	3	3	1	4	3	1	3	3	3	3	3	3	1	3	3	4	1	3	3	3	3
ORTHOMCL196	1	5	1	1	2	1	1	2	2	3	2	1	1	1	2	2	10	1	2	2	2
ORTHOMCL197	4	3	1	3	3	1	3	3	3	7	3	1	0	1	3	3	3	1	3	3	3
ORTHOMCL198	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	13	1	1	1	1
ORTHOMCL199	6	7	1	1	6	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1
ORTHOMCL200	3	3	2	2	3	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2
ORTHOMCL201	3	2	2	2	2	2	2	2	2	1	2	2	4	3	2	3	3	3	3	3	3
ORTHOMCL202	2	10	1	1	2	1	1	1	1	5	1	1	1	1	1	1	3	1	1	1	1
ORTHOMCL203	6	6	1	1	6	1	1	2	2	2	2	2	1	1	2	4	2	1	2	2	2
ORTHOMCL204	3	2	2	3	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2
ORTHOMCL205	3	4	1	5	3	1	2	2	2	1	2	5	1	3	2	1	1	2	2	2	2
ORTHOMCL206	1	2	5	4	2	1	4	2	3	9	3	1	1	0	1	1	1	1	1	1	1
ORTHOMCL208	3	3	1	4	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2
ORTHOMCL209	2	3	2	1	2	2	2	2	2	3	2	5	2	3	2	2	1	2	2	2	2
ORTHOMCL210	4	3	1	2	3	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2
ORTHOMCL211	5	6	1	1	5	1	1	1	1	1	1	1	1	1	1	2	6	1	1	1	1
ORTHOMCL214	3	3	2	2	3	1	2	2	2	2	2	2	2	2	2	4	3	2	2	2	2
ORTHOMCL215	5	6	1	1	5	1	1	1	1	2	1	1	1	1	1	6	1	1	1	1	1
ORTHOMCL216	2	2	1	2	2	2	2	2	2	2	2	5	2	2	3	3	3	2	3	3	3
ORTHOMCL217	3	3	2	3	3	2	2	2	2	2	2	2	2	2	2	4	1	2	2	2	2
ORTHOMCL219	3	3	1	1	3	1	1	2	2	1	2	5	1	1	3	5	4	2	3	3	3
ORTHOMCL220	6	5	1	1	5	1	1	1	1	1	1	1	1	1	1	4	4	1	1	1	1
ORTHOMCL221	2	2	1	2	2	1	2	2	2	3	3	4	1	4	3	2	4	3	3	3	3
ORTHOMCL222	2	4	2	2	2	3	2	2	2	3	2	2	3	2	2	2	1	2	2	2	2
ORTHOMCL223	3	3	1	1	3	1	1	2	2	7	2	1	1	3	2	4	1	2	2	2	2
ORTHOMCL224	2	5	2	2	2	1	2	2	2	2	2	3	1	2	2	3	3	2	2	2	2
ORTHOMCL225	1	2	4	2	2	3	3	3	3	2	3	3	3	3	3	2	1	3	3	3	3
ORTHOMCL228	2	2	4	3	2	2	3	2	2	2	2	3	1	2	2	2	3	2	2	2	2
ORTHOMCL230	3	4	1	1	3	1	1	2	2	1	2	5	1	5	2	2	2	2	2	2	2
ORTHOMCL234	1	1	2	3	1	1	2	1	2	2	2	5	2	3	3	2	3	3	3	3	3
ORTHOMCL235	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	5	2	2	2	2	2
ORTHOMCL236	3	5	1	1	3	1	1	2	2	2	2	1	1	5	2	4	1	2	2	2	2
ORTHOMCL238	2	2	2	3	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2
ORTHOMCL239	3	3	1	3	3	1	3	3	3	3	3	1	1	3	3	3	3	3	3	3	3
ORTHOMCL240	4	4	2	2	4	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
ORTHOMCL242	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	5	2	2	2	2	2
ORTHOMCL243	2	3	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL244	2	2	2	5	2	2	2	2	2	2	2	3	1	2	2	2	2	2	2	2	2
ORTHOMCL246	2	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
ORTHOMCL247	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	3	2	2	2	2
ORTHOMCL249	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	4	1	2	2	2	2
ORTHOMCL250	1	2	2	3	2	2	2	2	2	2	2	2	3	4	2	2	2	3	2	2	2
ORTHOMCL251	3	3	1	4	3	1	2	2	2	8	2	1	1	1	1	1	1	1	1	1	1
ORTHOMCL252	1	3	2	3	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2
ORTHOMCL253	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2
ORTHOMCL254	2	2	1	2	2	1	2	2	2	1	2	1	1	1	2	4	9	1	2	2	2
ORTHOMCL255	2	2	2	3	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL256	2	3	2	2	2	1	2	2	2	1	2	2	3	3	2	4	2	3	2	2	2
ORTHOMCL257	1	1	5	4	1	2	4	2	2	2	2	1	2	2	2	2	3	2	2	2	2
ORTHOMCL258	5	5	1	1	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1
ORTHOMCL259	4	3	1	2	3	1	2	2	2	1	2	1	3	2	2	3	4	2	2	2	2
ORTHOMCL260	4	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2
ORTHOMCL261	2	3	2	2	2	2	2	2	2	3	2	2	1	2	2	3	3	2	2	2	2
ORTHOMCL262	2	2	1	1	2	1	1	2	2	2	2	1	1	1	2	8	5	1	2	2	2
ORTHOMCL263	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	2	2	2	2
ORTHOMCL264	3	3	1	2	3	1	2	2	2	2	2	1	1	1	2	3	7	1	2	2	2
ORTHOMCL265	2	4	2	2	2	2	2	2	2	2	2	2	1	3	2	2	3	2	2	2	2
ORTHOMCL266	4	3	1	2	3	1	2	2	2	2	2	2	1	2	2	2	5	2	2	2	2
ORTHOMCL267	4	6	1	1	4	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1
ORTHOMCL270	5	4	1	1	4	1	1	1	1	1	1	1	1	3	1	1	6	2	1	2	2
ORTHOMCL271	4	4	1	1	4	1	1	2	2	2	2	1	1	1	2	5	4	1	2	2	2
ORTHOMCL272	4	3	1	1	3	1	1	2	2	4	2	1	1	2	2	5	2	2	2	2	2
ORTHOMCL273	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2
ORTHOMCL274	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2
ORTHOMCL275	4	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	9	2	2	2	2
ORTHOMCL276	4	4	2	2	4	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
ORTHOMCL277	7	7	1	1	7	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
ORTHOMCL278	3	3	1	2	3	1	2	3	3	3	3	2	1	3	3	3	3	3	3	3	3
ORTHOMCL279	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	1	1	1
ORTHOMCL280	6	5	1	1	5	1	1	1	1	3	1	1	1	1	1	4	1	1	1	1	1
ORTHOMCL282	4	3	1	1	3	1	1	1	1	6	1	1	1	1	1	4	1	1	1	1	1
ORTHOMCL283	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
ORTHOMCL284	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	7	1	2	2	2	2
ORTHOMCL285	2	4	2	2	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2
ORTHOMCL286	2	2	2	2	2	2	2	2	2	3	2	2	1	2	2	1	5	2	2	2	2
